Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,3,male,38.38352120950186,1,0,9.552087038282089,C
1,3,male,27.422122611350286,0,1,9.639553920412494,Q
0,3,male,29.715016533510678,0,2,6.135132247558852,C
1,1,male,57.558681815256364,1,2,81.92989711287747,S
0,1,male,14.486414488912388,0,0,81.56577134152597,S
0,3,male,16.202737208466676,1,0,14.445596993449922,S
0,3,female,29.40250665292027,0,0,82.1288917729574,S
0,3,male,9.6129446220063,0,0,267.28987940628576,S
0,3,male,34.7182420609904,0,0,8.842698455383571,S
1,2,female,61.460917442356745,0,0,54.14878829898638,S
1,1,female,0.0,0,0,0.6602376378845642,S
1,3,female,7.21254670540126,0,2,2.556911599950615,S
1,1,female,25.217550132909615,0,0,26.79051072805773,S
0,3,male,19.537826904868947,0,0,8.995783419858826,S
0,2,male,14.830570590532696,0,0,5.591569262218456,S
1,1,female,52.74158739802199,1,0,9.197047166379981,S
0,3,male,65.19794069236293,0,0,8.010242837226723,S
0,3,male,58.39082356441866,0,0,40.41369755511529,S
1,1,male,48.29121846573892,0,1,12.43286506437122,S
0,3,male,32.16618727704114,0,0,13.862939588610597,Q
0,3,female,26.818866130179668,0,1,10.193782192308069,S
1,2,female,28.85043803659204,0,1,60.40722146121101,S
1,1,male,2.012723646396801,3,0,29.395709306568584,C
0,3,male,17.997629677897564,1,0,17.579512711780065,S
1,1,male,22.61434631101178,0,0,126.68699053721372,Q
0,3,male,18.684684990416716,0,0,23.8290701876696,S
1,3,female,46.81274848676917,1,0,19.729267799661017,S
0,3,male,50.371582192377936,0,0,17.528687228737216,C
0,3,male,41.48530011352398,1,1,5.4087552160598475,S
1,3,male,23.598531106451876,2,0,13.33802095815009,S
0,1,male,7.055269225197611,0,0,9.490776737889336,S
0,3,male,33.1575396576695,0,0,18.70971395152616,S
0,3,male,22.78231544467454,0,2,10.322101691071815,C
1,3,female,21.457687536307407,1,0,14.403259864965785,S
0,2,male,14.182050642492555,0,0,0.0,S
0,2,male,35.196934816229835,0,2,5.887059444888468,S
0,3,female,28.96875180378456,0,0,80.60848188442567,C
0,3,male,25.283879233040278,0,0,7.561034135508996,S
0,3,male,29.350319551856618,1,2,7.144298613017094,C
0,1,male,24.24167085611808,0,0,16.218548408256034,S
0,3,male,21.287169015434618,0,0,139.70211844983103,S
1,3,female,8.150181593060486,0,0,12.749121234551474,S
1,2,female,17.03427816668198,2,1,32.644802952184946,S
0,3,male,26.626901707129523,0,0,58.51860222171516,C
0,3,male,48.82882253798566,0,0,29.940370580538165,S
0,3,male,35.41472429617605,0,6,11.050665426879268,C
1,1,male,59.563501767196335,1,0,6.558306040423105,S
0,1,male,34.24830169918322,0,1,38.26307966808713,C
0,3,female,30.06075766870819,0,0,30.960633292170545,S
1,1,female,51.85345545386888,0,0,10.964137341299594,S
1,1,female,21.79074276613093,0,0,36.416083616562226,S
0,3,male,25.20166724971595,2,0,5.838359139513726,S
0,1,male,26.480571779951227,0,0,78.88120078733192,S
0,3,male,24.647847661031175,0,0,4.935823575303335,S
0,3,male,9.555976948246146,0,0,58.99585558487696,S
0,3,male,27.274560534519626,0,0,76.40388547664898,S
1,3,female,19.996755708940288,1,0,14.080635022229549,S
0,2,male,33.027564014628005,0,0,23.799695848863973,S
0,1,male,22.30465281439094,0,2,10.202138569752552,S
0,3,male,22.004978054323992,0,0,23.108138588846202,S
0,3,male,32.67239286432345,8,0,19.925227881353557,C
0,2,male,11.302722783458456,0,2,14.429054513255608,S
0,3,male,35.462320123650734,0,1,19.808112155259924,S
0,1,male,36.88925400242598,0,1,36.72536651365534,S
0,3,male,15.333608060307245,0,0,13.438298091739643,C
0,3,male,65.6452837624894,0,0,7.889867937430522,S
0,1,male,9.743849955178295,0,2,6.566613328485176,S
0,3,female,32.47015584171209,1,0,4.245982979574036,C
0,3,female,11.044722555462197,1,0,50.52385396577084,S
0,3,female,35.823341650823714,3,0,10.3620623178154,S
0,3,female,36.70582833476479,0,0,15.8813278230047,S
0,3,female,57.678042735290774,0,0,7.385538369854673,C
0,3,male,11.761659007211529,1,0,15.304684975059471,S
0,2,male,55.738683427429436,0,1,30.52253687643043,S
0,3,female,41.807985183478344,0,0,27.109453514886514,S
0,3,male,22.392858256405653,0,0,16.8869805731847,S
1,2,female,18.883043351953447,0,0,0.0,C
0,3,female,38.507423688943014,0,0,115.02175311280216,S
0,2,male,27.755175025695586,1,0,17.605885406813574,C
1,3,female,0.0,0,0,112.453686119349,S
1,1,female,51.25453165246222,0,0,26.74447672740585,S
0,1,male,24.675646877822672,0,0,48.892319421345995,S
0,1,male,25.309566156393934,0,0,37.80374517637331,C
0,3,male,52.38353660016099,0,0,42.992134914596484,S
1,1,male,19.834431179363882,0,0,13.790595424525545,S
0,1,male,20.420493780363113,0,0,8.245174105036005,S
0,3,male,12.954796282813552,1,0,47.24797825431643,C
1,2,female,41.90611342858383,1,0,29.70007118152168,S
0,1,male,5.856986022657111,0,0,36.79610300147806,S
1,3,male,25.092043649496606,1,0,19.710714440917016,S
1,3,male,14.75271840783514,1,1,6.290540611965353,S
0,3,male,10.177671216688962,1,0,31.129184214426193,S
0,3,male,18.603314030406484,0,0,102.67897060569565,S
0,3,male,20.934358502910317,0,0,8.490037099353977,C
1,1,female,15.513761461797138,0,1,0.0,S
0,3,male,26.68431460541072,1,0,2.09439617554143,S
0,3,female,33.71518064219341,0,0,26.177882384923123,S
0,3,male,26.906993610827573,0,0,13.690837314578292,S
1,1,male,31.189099201883753,0,0,156.79536334304768,S
1,1,female,45.77916875368232,0,0,52.075629325334994,C
0,1,male,15.963042121212066,0,0,24.89516341106823,Q
0,3,female,23.86675000150612,3,2,33.94553689323223,Q
1,1,female,0.0,0,0,15.746698052717036,S
1,3,male,12.764828321447787,0,0,7.05976277352641,S
0,3,male,48.66674626595037,1,0,4.6391614987287095,S
0,3,female,23.04628035411461,0,0,71.95667371838287,S
0,3,male,36.2271398638705,0,0,13.030083402180358,S
0,3,female,11.820868394650766,0,0,14.829843192085766,S
0,2,male,27.208216872441675,0,0,29.814428681925246,S
0,3,male,21.547909605281973,0,0,162.76460156201495,Q
1,3,male,31.905775043395302,0,0,6.645839643295883,Q
0,3,male,13.000863313991855,0,0,88.29206183689364,S
1,3,male,27.20674927728512,4,0,10.534432258531314,S
1,3,female,20.611666828259178,8,0,86.59637255337115,C
0,3,male,26.471259395628547,1,0,7.478586769870339,S
0,2,male,4.268744490889418,0,0,42.019213017291975,S
1,1,female,54.67844848336129,0,0,6.065840161797036,C
0,3,female,0.0,0,0,89.28449963398899,S
1,2,female,49.995822045669954,1,0,59.930681584803835,S
0,3,female,21.713029625917045,0,0,3.7539699071221504,S
1,3,female,47.33539043517675,1,1,40.013421722398164,Q
0,3,male,28.63058656732583,0,0,152.18197286089625,S
0,1,male,47.65614911079622,1,0,210.19103673223847,C
0,1,male,30.731257441204942,0,2,8.24376176626812,S
1,2,female,46.16989972974286,0,1,5.069555501719168,S
1,3,female,35.48366996596856,5,0,20.71831755672045,Q
0,3,male,17.93255808662034,0,0,22.314502724374726,S
1,2,female,8.236966149020029,0,1,28.02670239378351,C
0,3,male,32.44747276045433,0,0,209.98672435331451,S
0,1,male,25.14512278013339,1,0,7.100311123018907,C
1,2,female,56.99536276668396,1,0,17.80914584471943,S
0,1,male,7.887972717460524,0,1,10.863226317160644,S
0,3,male,17.43878872087689,3,1,27.30869676215597,C
0,3,male,31.909250129079602,1,0,29.753980014058527,S
0,2,male,25.09862879335181,1,0,15.087359793710073,C
0,3,female,31.0960912261913,0,0,28.994026902372998,S
0,3,male,25.31600035753251,0,0,3.2631344442142476,Q
1,1,male,44.977362614826475,0,0,74.39661467793645,S
1,2,male,11.044874995242395,0,1,30.114153615760667,S
0,3,male,23.347676477145477,1,1,3.220515023477124,C
1,2,female,29.447615004305185,1,0,5.432527709607309,S
0,3,male,34.99612570173037,0,0,16.272131047690113,S
0,2,male,54.90189770752832,2,0,16.43396328569624,Q
0,3,male,32.553302563891236,0,0,20.846681662372447,S
1,1,male,32.95074701673509,0,1,9.917773474527834,C
1,3,male,26.860210927408154,0,0,83.98929075171482,Q
1,3,female,22.020811690044354,0,0,227.40883144574818,S
0,3,male,21.536449325445563,1,0,0.0,S
0,1,male,26.26156520980105,0,0,5.798687059815437,C
0,3,male,0.0,0,0,28.307270103678057,S
0,3,male,30.317737507736762,0,0,7.684561025753946,S
0,1,male,18.36603370210228,0,0,20.55116993091143,S
1,2,female,27.358586325728528,0,0,3.7605861819075246,Q
1,1,male,11.747790906838796,4,0,7.350074242193328,Q
0,3,female,30.871363688649605,0,1,76.66447359785879,S
1,2,male,25.130843357086118,3,0,50.86086044899568,S
0,3,female,26.927107848687555,3,1,9.747672445166312,C
1,3,female,19.506046917368145,1,0,0.0,Q
1,1,male,17.372326539664524,0,2,28.311062445053125,C
1,3,male,20.02804567351071,2,2,19.979652424757827,S
0,1,male,17.743453768224885,0,0,80.69865920704774,C
0,3,male,39.08406656107763,0,0,29.91386920890662,S
0,1,male,28.96397858534336,0,0,11.777494532624914,S
0,1,male,12.13314352696479,0,0,5.763412651529156,S
0,2,male,14.977339375645055,0,0,15.632200502947018,S
0,3,male,17.657370324666488,0,1,27.239645465186598,C
1,2,female,24.965659727395945,4,0,4.213782510002314,S
0,3,male,31.21875572798644,0,0,78.69619769832727,C
1,1,female,26.343753311071634,0,0,10.312217693286323,S
0,1,male,15.93194417402306,0,0,74.84559923667223,S
1,1,male,2.301115253256981,1,1,9.526982958924105,C
0,1,male,51.397039519208015,0,0,8.089565845846678,S
0,2,male,21.054476830344328,1,2,3.32734632143441,S
